Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,batsHand,throwsHand,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P
68,699325,O. Rayo,Oscar Rayo,Rayo,Oscar,P,Northwest Arkansas Naturals,NWA,1350,NW Arkansas,aax,KC,Northwest Arkansas Naturals,NWA,1350,NW Arkansas,AAX,KC,L,L,22.5,24,103,21,304.0,4399,1225,1.8%,89.0,90.8,13.8,5.96,22.5%,6.1%,66.6%,50.1%,15.9%,65.6%,64.0%,22.03%,49.80%,30.1%,26.9%,20.1%,30.9%,73.1%,12.1%,.259,.272,64.57,.015
69,702877,B. Polanco,Bryan Polanco,Polanco,Bryan,P,Wilmington Blue Rocks,WIL,426,Wilmington,afa,WSH,Wilmington Blue Rocks,WIL,426,Wilmington,AFA,WSH,R,R,22.8,24,72,59,303.2,4925,1330,15.2%,90.4,91.7,16.6,5.76,19.4%,9.7%,61.8%,48.6%,17.5%,57.7%,58.1%,19.57%,46.88%,24.9%,23.0%,16.1%,27.0%,77.0%,15.3%,.314,.330,11.65,.002
69,689275,H. Williams,Henry Williams,Williams,Henry,P,Northwest Arkansas Naturals,NWA,1350,NW Arkansas,aax,KC,Northwest Arkansas Naturals,NWA,1350,NW Arkansas,AAX,KC,R,R,23.0,24,66,63,303.2,4865,1296,44.8%,92.0,93.2,18.5,6.48,21.1%,9.9%,62.8%,51.2%,16.1%,60.3%,59.8%,19.97%,47.65%,27.1%,23.4%,15.3%,26.9%,76.6%,16.0%,.312,.325,17.95,.004
71,800125,F. Perez,Fernando Perez,Perez,Fernando,P,New Hampshire Fisher Cats,NH,463,New Hampshire,aax,TOR,New Hampshire Fisher Cats,NH,463,New Hampshire,AAX,TOR,R,R,20.3,22,68,67,302.2,4548,1255,46.6%,92.0,93.4,18.8,5.92,23.9%,6.1%,68.7%,53.7%,13.8%,66.4%,66.2%,19.94%,48.28%,28.9%,26.1%,19.3%,32.4%,73.9%,14.2%,.265,.276,66.10,.015
72,800067,J. Fleury,Jose Fleury,Fleury,Jose,P,Sugar Land Space Cowboys,SUG,5434,Sugar Land,aaa,HOU,Sugar Land Space Cowboys,SUG,5434,Sugar Land,AAA,HOU,R,R,22.2,24,84,49,301.2,4818,1237,35.0%,90.8,91.6,20.9,6.18,29.2%,10.1%,63.5%,49.0%,18.1%,60.3%,58.3%,27.15%,58.17%,32.7%,33.7%,23.7%,27.5%,66.3%,15.1%,.264,.284,58.23,.012
73,688422,C. Staine,Connor Staine,Staine,Connor,P,Hartford Yard Goats,HFD,538,Hartford,aax,COL,Hartford Yard Goats,HFD,538,Hartford,AAX,COL,R,R,23.6,25,69,66,300.2,5239,1323,51.9%,93.4,94.6,20.3,6.23,22.1%,10.2%,62.5%,48.2%,17.0%,60.2%,60.4%,17.29%,47.57%,27.4%,25.9%,20.2%,26.7%,74.1%,14.8%,.302,.328,23.10,.004
74,683627,A. Molina,Anthony Molina,Molina,Anthony,P,Gwinnett Stripers,GWN,431,Gwinnett,aaa,ATL,Gwinnett Stripers,GWN,431,Gwinnett,AAA,ATL,R,R,21.6,24,76,50,300.1,5084,1337,55.7%,94.5,95.8,19.3,6.14,18.5%,6.7%,64.5%,49.4%,16.7%,59.6%,62.5%,17.56%,40.76%,25.4%,25.1%,18.0%,30.7%,74.9%,15.5%,.310,.331,26.78,.005
75,800059,D. Rogers,Dalton Rogers,Rogers,Dalton,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Portland Sea Dogs,POR,546,Portland,AAX,BOS,R,L,23.5,25,72,61,299.1,5463,1325,26.5%,93.1,94.1,18.8,6.25,28.0%,13.6%,60.3%,49.8%,16.1%,57.4%,56.0%,24.79%,56.19%,29.5%,30.1%,22.7%,23.7%,69.9%,13.9%,.282,.299,51.24,.009
76,703596,K. Milbrandt,Karson Milbrandt,Milbrandt,Karson,P,Pensacola Blue Wahoos,PNS,4124,Pensacola,aax,MIA,Pensacola Blue Wahoos,PNS,4124,Pensacola,AAX,MIA,R,R,20.2,22,71,71,297.1,5380,1317,39.8%,94.2,95.6,19.1,5.86,23.9%,12.5%,60.9%,48.3%,17.1%,58.4%,55.1%,19.37%,49.62%,27.5%,27.9%,21.3%,26.3%,72.1%,13.0%,.293,.309,46.21,.009
77,681328,J. Cuevas,Jonny Cuevas,Cuevas,Jonny,P,Durham Bulls,DUR,234,Durham,aaa,TB,Durham Bulls,DUR,234,Durham,AAA,TB,R,R,23.5,25,117,26,296.2,4807,1290,45.0%,93.2,94.2,18.0,6.04,17.8%,11.6%,61.6%,48.0%,17.1%,58.4%,57.7%,18.55%,44.82%,27.2%,28.2%,18.4%,27.3%,71.8%,15.9%,.300,.324,43.93,.009
