Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,batsHand,throwsHand,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P
249,701347,Y. Tejeda Jr.,Yoel Tejeda Jr.,Tejeda Jr.,Yoel,P,Wilmington Blue Rocks,WIL,426,Wilmington,afa,WSH,Wilmington Blue Rocks,WIL,426,Wilmington,AFA,WSH,S,R,22.0,22,18,18,87.0,1330,363,7.8%,93.7,94.8,15.6,7.27,21.8%,7.4%,63.6%,49.3%,15.9%,63.9%,59.2%,22.65%,55.04%,26.8%,27.3%,19.8%,30.3%,72.7%,11.5%,.279,.296,12.06,.009
249,702431,J. Amarante,Juan Amarante,Amarante,Juan,P,Jersey Shore BlueClaws,JS,427,Jersey Shore,afa,PHI,Clearwater Threshers,CLR,566,Clearwater,AFX,PHI,L,L,21.2,22,18,17,76.2,1234,335,28.6%,91.0,92.0,18.4,5.94,22.1%,9.3%,62.6%,49.4%,20.3%,60.6%,59.9%,20.22%,49.23%,28.8%,28.2%,18.1%,27.0%,71.8%,13.5%,.288,.297,9.74,.008
249,808512,J. Reyes,Jeremy Reyes,Reyes,Jeremy,P,Rome Emperors,ROM,432,Rome,afa,ATL,Augusta GreenJackets,AUG,478,Augusta,AFX,ATL,R,R,19.5,20,18,18,76.1,1282,328,17.3%,94.7,96.1,16.0,6.17,25.6%,14.9%,57.6%,42.9%,23.6%,58.2%,56.0%,24.05%,63.21%,27.0%,31.7%,19.6%,24.9%,68.3%,13.3%,.294,.276,5.49,.004
249,808003,R. Gonzalez,Rafael Gonzalez,Gonzalez,Rafael,P,,,,,,,Fayetteville Woodpeckers,FAY,3712,Fayetteville,AFX,HOU,R,R,21.0,21,18,11,63.0,1159,279,24.3%,93.8,95.4,17.0,6.48,21.1%,14.0%,57.6%,45.2%,21.2%,55.2%,51.3%,16.86%,47.12%,25.7%,27.0%,23.9%,22.3%,73.0%,12.6%,.320,.332,2.25,.002
249,808161,U. Soto,Ubaldo Soto,Soto,Ubaldo,P,Rancho Cucamonga Quakes,RC,526,Rancho Cuca.,afx,LAA,Inland Empire 66ers,IE,401,Inland Empire,AFX,LAA,R,R,19.0,19,18,10,73.2,1184,308,60.5%,92.9,94.9,18.0,6.49,26.9%,11.4%,60.4%,47.1%,20.4%,58.8%,54.7%,26.43%,60.53%,28.5%,26.3%,21.1%,22.8%,73.7%,11.2%,.274,.280,6.43,.005
249,807002,J. Martinez,Jeter Martinez,Martinez,Jeter,P,Bradenton Marauders,BRD,3390,Bradenton,afx,PIT,Bradenton Marauders,BRD,3390,Bradenton,AFX,PIT,R,R,19.4,20,18,17,65.0,1176,306,42.6%,94.6,95.6,19.1,6.24,21.6%,13.7%,58.0%,46.8%,20.8%,52.3%,55.7%,27.46%,51.61%,26.5%,26.3%,15.9%,22.9%,73.7%,13.9%,.312,.342,2.72,.002
249,808064,D. Hurtado,Daviel Hurtado,Hurtado,Daviel,P,,,,,,,St. Lucie Mets,SLU,507,St. Lucie,AFX,NYM,L,L,20.4,21,18,12,65.2,1085,272,47.0%,93.0,94.1,18.3,5.95,27.6%,8.8%,63.3%,49.1%,20.2%,59.6%,61.0%,24.38%,49.58%,30.7%,28.5%,17.2%,25.3%,71.5%,12.3%,.265,.263,10.11,.009
249,808383,K. Salcedo,Kelvis Salcedo,Salcedo,Kelvis,P,,,,,,,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,R,R,19.4,20,18,10,68.2,991,254,43.3%,94.6,96.1,15.9,5.71,33.5%,9.8%,64.4%,50.4%,19.3%,66.9%,64.6%,24.17%,66.10%,32.6%,34.0%,25.4%,27.6%,66.0%,11.9%,.224,.199,19.11,.019
249,815219,L. De La Torre,Luis De La Torre,De La Torre,Luis,P,Eugene Emeralds,EUG,461,Eugene,afa,SF,San Jose Giants,SJ,476,San Jose,AFX,SF,L,L,21.8,22,18,15,74.1,1208,302,59.1%,94.0,95.1,17.9,6.51,36.1%,8.9%,65.3%,51.9%,13.2%,60.9%,62.5%,28.40%,60.13%,34.8%,37.8%,28.2%,28.2%,62.2%,8.3%,.228,.243,22.88,.019
249,821783,A. Cayama,Argenis Cayama,Cayama,Argenis,P,San Jose Giants,SJ,476,San Jose,afx,SF,San Jose Giants,SJ,476,San Jose,AFX,SF,R,R,18.8,19,18,15,62.1,1013,271,39.8%,92.9,94.1,14.9,6.38,22.9%,10.3%,63.8%,46.2%,19.2%,64.6%,59.6%,20.00%,55.77%,29.1%,26.9%,15.3%,28.7%,73.1%,10.1%,.275,.293,9.07,.009
