Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,batsHand,throwsHand,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P
28,682254,M. Montgomery,Mason Montgomery,Montgomery,Mason,P,Pittsburgh Pirates,PIT,134,Pittsburgh,mlb,PIT,Durham Bulls,DUR,234,Durham,AAA,TB,L,L,23.3,25,96,70,345.0,5909,1474,64.4%,92.7,94.6,21.3,6.12,29.5%,9.5%,65.3%,52.2%,14.6%,63.3%,59.2%,20.59%,56.71%,29.6%,31.0%,24.0%,29.8%,69.0%,17.3%,.293,.312,61.68,.010
29,686796,B. Walston,Blake Walston,Walston,Blake,P,Arizona Diamondbacks,AZ,109,Arizona,mlb,AZ,Reno Aces,RNO,2310,Reno,AAA,AZ,L,L,21.8,24,69,68,338.1,5793,1491,44.0%,91.2,92.3,16.7,5.94,20.7%,11.4%,61.8%,48.5%,16.2%,58.8%,56.6%,18.50%,47.73%,26.3%,25.3%,16.9%,26.5%,74.7%,15.9%,.333,.340,21.06,.004
30,676106,E. Hancock,Emerson Hancock,Hancock,Emerson,P,Seattle Mariners,SEA,136,Seattle,mlb,SEA,Tacoma Rainiers,TAC,529,Tacoma,AAA,SEA,R,R,24.3,26,69,67,335.1,5416,1421,26.9%,94.0,95.2,15.2,5.87,22.6%,9.0%,62.7%,49.7%,15.7%,62.2%,61.3%,21.48%,52.93%,25.8%,25.2%,19.3%,27.4%,74.8%,14.8%,.296,.314,33.26,.006
31,702070,N. Cameron,Noah Cameron,Cameron,Noah,P,Kansas City Royals,KC,118,Kansas City,mlb,KC,Omaha Storm Chasers,OMA,541,Omaha,AAA,KC,L,L,24.2,26,75,75,334.1,5443,1405,41.9%,91.4,92.7,19.0,5.76,29.8%,7.1%,64.3%,50.3%,13.6%,62.8%,60.6%,25.36%,57.78%,31.0%,32.3%,23.3%,30.0%,67.7%,16.1%,.284,.309,42.15,.008
32,683175,C. Phillips,Connor Phillips,Phillips,Connor,P,Cincinnati Reds,CIN,113,Cincinnati,mlb,CIN,Louisville Bats,LOU,416,Louisville,AAA,CIN,R,R,22.8,24,102,67,331.1,6234,1484,55.4%,96.7,97.8,20.5,5.89,28.5%,13.9%,60.3%,47.1%,19.6%,58.1%,55.1%,22.11%,55.50%,30.1%,30.8%,21.5%,26.0%,69.2%,17.1%,.309,.335,40.94,.007
33,678024,M. Vasil,Mike Vasil,Vasil,Mike,P,Chicago White Sox,CWS,145,Chi White Sox,mlb,CWS,Syracuse Mets,SYR,552,Syracuse,AAA,NYM,L,R,23.4,26,73,70,329.1,5555,1420,36.2%,93.5,94.5,17.5,6.01,23.4%,8.7%,64.1%,49.7%,18.3%,59.6%,58.1%,20.57%,47.52%,28.8%,27.6%,20.3%,28.6%,72.4%,13.6%,.285,.319,66.61,.012
34,672456,K. Montero,Keider Montero,Montero,Keider,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Toledo Mud Hens,TOL,512,Toledo,AAA,DET,R,R,23.1,25,76,73,326.0,5435,1417,51.5%,94.5,95.6,17.5,6.27,25.5%,9.3%,64.0%,50.4%,14.7%,61.1%,62.9%,22.95%,54.59%,28.3%,26.3%,18.6%,28.0%,73.7%,16.1%,.299,.333,41.57,.008
35,677961,C. Wilcox,Cole Wilcox,Wilcox,Cole,P,Seattle Mariners,SEA,136,Seattle,mlb,SEA,Durham Bulls,DUR,234,Durham,AAA,TB,R,R,25.0,26,99,61,324.2,4993,1376,5.8%,95.0,95.0,10.9,5.96,21.5%,8.6%,63.7%,50.7%,17.0%,60.4%,60.2%,22.51%,51.35%,27.8%,25.9%,17.4%,27.6%,74.1%,15.3%,.303,.313,26.01,.005
36,702193,A. Morris,Andrew Morris,Morris,Andrew,P,Minnesota Twins,MIN,142,Minnesota,mlb,MIN,St. Paul Saints,STP,1960,St. Paul,AAA,MIN,R,R,22.9,24,68,62,320.1,5028,1328,40.7%,94.5,95.9,18.3,6.15,23.1%,6.1%,67.2%,54.1%,12.8%,67.7%,67.6%,17.93%,48.23%,28.6%,24.5%,18.0%,30.2%,75.5%,13.2%,.259,.283,78.58,.016
37,677944,S. Cecconi,Slade Cecconi,Cecconi,Slade,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Columbus Clippers,COL,445,Columbus,AAA,CLE,R,R,24.0,26,70,56,306.0,4863,1307,43.1%,94.2,95.5,15.3,6.32,23.6%,6.4%,64.5%,55.3%,15.4%,61.7%,65.8%,21.46%,51.98%,28.5%,24.9%,18.3%,25.0%,75.1%,18.6%,.319,.332,12.22,.003
38,676428,B. Hurter,Brant Hurter,Hurter,Brant,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Toledo Mud Hens,TOL,512,Toledo,AAA,DET,L,L,24.8,27,73,62,299.2,4811,1275,3.0%,91.9,93.1,8.6,6.28,26.7%,6.0%,65.0%,51.9%,16.9%,62.9%,61.5%,24.74%,57.48%,31.2%,27.9%,19.8%,27.6%,72.1%,13.0%,.287,.302,32.02,.007
39,676105,J. Criswell,Jeff Criswell,Criswell,Jeff,P,Colorado Rockies,COL,115,Colorado,mlb,COL,Albuquerque Isotopes,ABQ,342,Albuquerque,AAA,COL,R,R,24.4,27,88,47,297.0,5358,1345,51.1%,93.8,95.0,17.8,6.12,25.1%,10.6%,62.1%,48.5%,17.7%,59.5%,59.6%,20.78%,51.04%,27.7%,28.6%,21.0%,28.8%,71.4%,17.4%,.323,.366,29.61,.006
40,800049,A. Mazur,Adam Mazur,Mazur,Adam,P,Miami Marlins,MIA,146,Miami,mlb,MIA,Jacksonville Jumbo Shrimp,JAX,564,Jacksonville,AAA,MIA,R,R,23.2,25,65,56,296.2,4599,1227,42.7%,94.5,95.5,18.0,5.93,23.0%,5.3%,65.6%,52.0%,14.9%,61.8%,63.0%,21.75%,50.42%,28.4%,25.8%,17.9%,30.1%,74.2%,16.1%,.290,.311,30.69,.007
41,694680,T. Martin,Trevor Martin,Martin,Trevor,P,Tampa Bay Rays,TB,139,Tampa Bay,mlb,TB,Durham Bulls,DUR,234,Durham,AAA,TB,R,R,23.8,25,99,49,296.0,4873,1248,57.1%,92.2,93.6,19.9,6.38,27.0%,8.4%,63.7%,52.7%,14.2%,60.7%,60.0%,21.76%,56.45%,30.1%,29.4%,23.0%,25.6%,70.6%,15.4%,.278,.299,45.17,.009
42,668964,T. Myers,Tobias Myers,Myers,Tobias,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Nashville Sounds,NAS,556,Nashville,AAA,MIL,R,R,25.0,27,69,63,295.0,5043,1302,51.5%,92.3,94.3,21.2,6.48,23.7%,9.3%,62.3%,49.5%,16.5%,56.9%,58.8%,19.95%,52.95%,26.8%,26.5%,20.8%,25.7%,73.5%,20.8%,.320,.347,0.75,.000
43,681751,L. Estrada,Lazaro Estrada,Estrada,Lazaro,P,Toronto Blue Jays,TOR,141,Toronto,mlb,TOR,Buffalo Bisons,BUF,422,Buffalo,AAA,TOR,R,R,25.0,27,86,57,293.2,4937,1229,58.2%,92.8,94.0,21.0,5.97,28.5%,8.1%,66.0%,50.4%,16.7%,64.7%,62.8%,20.29%,50.61%,29.3%,28.9%,22.0%,30.9%,71.1%,16.3%,.273,.301,60.40,.012
44,676508,B. Casparius,Ben Casparius,Casparius,Ben,P,Los Angeles Dodgers,LAD,119,LA Dodgers,mlb,LAD,Oklahoma City Comets,OKC,238,Okla. City,AAA,LAD,R,R,24.4,27,79,56,291.1,5168,1277,41.3%,94.3,95.4,19.3,5.37,26.9%,11.5%,61.1%,47.7%,20.2%,61.7%,59.1%,21.82%,56.89%,29.1%,30.1%,20.8%,27.1%,69.9%,15.3%,.295,.321,38.90,.008
45,693855,I. Seymour,Ian Seymour,Seymour,Ian,P,Tampa Bay Rays,TB,139,Tampa Bay,mlb,TB,Durham Bulls,DUR,234,Durham,AAA,TB,L,L,25.4,27,61,60,290.0,4498,1168,43.5%,90.3,91.3,19.6,6.22,28.7%,7.6%,64.1%,48.6%,17.4%,65.0%,61.2%,25.59%,56.85%,30.1%,32.1%,24.7%,29.6%,67.9%,14.9%,.264,.271,51.85,.012
46,701581,D. Festa,David Festa,Festa,David,P,Minnesota Twins,MIN,142,Minnesota,mlb,MIN,St. Paul Saints,STP,1960,St. Paul,AAA,MIN,R,R,23.4,26,67,62,287.2,4681,1186,37.5%,95.6,96.4,19.0,6.51,29.9%,9.2%,63.1%,48.0%,17.5%,63.4%,63.3%,24.76%,58.33%,31.9%,35.4%,25.5%,28.8%,64.6%,14.6%,.272,.291,57.29,.012
47,681066,K. Bush,Ky Bush,Bush,Ky,P,Chicago White Sox,CWS,145,Chi White Sox,mlb,CWS,Charlotte Knights,CLT,494,Charlotte,AAA,CWS,L,L,23.6,26,58,56,281.0,4542,1184,45.9%,92.6,93.8,18.3,6.27,23.6%,9.5%,63.2%,49.2%,17.0%,61.9%,61.4%,21.19%,47.65%,28.5%,28.6%,20.0%,27.8%,71.4%,14.7%,.311,.315,18.03,.004
48,694358,T. Roby,Tekoah Roby,Roby,Tekoah,P,St. Louis Cardinals,STL,138,St. Louis,mlb,STL,Memphis Redbirds,MEM,235,Memphis,AAA,STL,R,R,22.1,24,62,61,279.2,4384,1175,49.2%,94.8,96.0,19.2,6.34,27.3%,7.1%,65.9%,51.0%,14.3%,61.7%,60.5%,23.73%,56.03%,30.6%,30.0%,20.1%,31.1%,70.0%,19.1%,.297,.322,29.08,.007
49,686560,G. Collyer,Gavin Collyer,Collyer,Gavin,P,Texas Rangers,TEX,140,Texas,mlb,TEX,Round Rock Express,RR,102,Round Rock,AAA,TEX,R,R,23.0,24,153,28,277.2,4985,1255,31.5%,94.4,96.5,16.0,5.65,28.3%,12.3%,61.7%,49.4%,19.0%,58.4%,60.6%,25.74%,56.63%,30.7%,29.9%,21.7%,24.9%,70.1%,14.5%,.298,.323,30.49,.006
50,690925,C. Beeter,Clayton Beeter,Beeter,Clayton,P,Washington Nationals,WSH,120,Washington,mlb,WSH,Rochester Red Wings,ROC,534,Rochester,AAA,WSH,R,R,25.1,27,88,56,275.1,5043,1203,48.2%,94.1,95.5,19.4,5.36,32.9%,13.7%,61.4%,46.7%,18.7%,60.2%,57.7%,23.15%,62.26%,31.8%,35.2%,24.1%,29.1%,64.8%,15.9%,.276,.303,64.32,.013
51,686799,J. Kochanowicz,Jack Kochanowicz,Kochanowicz,Jack,P,Los Angeles Angels,LAA,108,LA Angels,mlb,LAA,Salt Lake Bees,SL,561,Salt Lake,AAA,LAA,L,R,22.7,25,60,52,273.1,4148,1192,10.2%,94.0,96.8,14.4,6.13,18.8%,7.2%,66.2%,53.3%,15.5%,63.4%,64.4%,19.90%,45.91%,26.4%,22.7%,17.0%,27.8%,77.3%,13.0%,.304,.324,24.85,.006
52,675512,T. Melton,Troy Melton,Melton,Troy,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Toledo Mud Hens,TOL,512,Toledo,AAA,DET,R,R,23.4,25,66,63,273.0,4401,1136,49.2%,95.6,96.8,18.2,6.80,28.1%,6.5%,66.5%,53.0%,13.5%,64.8%,63.9%,23.78%,53.91%,32.0%,30.8%,23.8%,29.1%,69.2%,18.5%,.264,.313,58.01,.013
53,680736,J. Wrobleski,Justin Wrobleski,Wrobleski,Justin,P,Los Angeles Dodgers,LAD,119,LA Dodgers,mlb,LAD,Oklahoma City Comets,OKC,238,Okla. City,AAA,LAD,L,L,23.4,25,69,61,271.1,4380,1131,48.0%,94.6,96.1,18.3,5.02,25.3%,8.3%,65.4%,53.9%,14.0%,63.9%,62.6%,21.35%,53.04%,29.5%,26.7%,20.3%,27.5%,73.3%,15.3%,.289,.302,39.56,.009
54,668390,C. Winn,Cole Winn,Winn,Cole,P,Texas Rangers,TEX,140,Texas,mlb,TEX,Round Rock Express,RR,102,Round Rock,AAA,TEX,R,R,23.8,26,84,41,269.0,4954,1250,45.3%,93.8,94.8,18.0,6.79,21.2%,14.7%,59.3%,46.3%,21.2%,56.0%,55.2%,21.43%,49.44%,26.4%,26.9%,17.1%,25.1%,73.1%,16.7%,.333,.348,36.98,.007
55,681293,S. Arrighetti,Spencer Arrighetti,Arrighetti,Spencer,P,Houston Astros,HOU,117,Houston,mlb,HOU,Sugar Land Space Cowboys,SUG,5434,Sugar Land,AAA,HOU,R,R,23.3,26,63,46,265.0,4688,1138,49.3%,93.0,94.0,17.5,6.95,29.3%,11.6%,61.7%,49.3%,17.8%,58.9%,56.4%,23.29%,56.12%,30.8%,31.4%,22.2%,26.0%,68.6%,14.3%,.285,.309,48.24,.010
