Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,SeasonLevel,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
26,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2025,781887,2025-05-01 13:05:00 (1),ARK - AAX,574,AAX,false,false,true,Arkansas,ARK,ARK,260,TUL,TUL,L 5-6 (7),SEA,LAD,22.9,AA,23,1,1,3.0,53,12,15.1%,91.2,91.6,15.9,6.18,16.7%,16.7%,58.5%,35.8%,13.2%,50.0%,50.0%,40.00%,16.67%,28.3%,40.7%,29.4%,29.4%,59.3%,0.0%,.283,.262,0.87,.016,Drillers,ARK vs. TUL (2025-05-01)<br>L 5-6,5/1/25
27,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2024,749578,2024-09-12 20:05:00,ARK - AAX,574,AAX,false,true,true,Arkansas,ARK,ARK,1350,NWA,NWA,W 3-0,SEA,KC,21.9,AA,23,1,1,6.0,71,21,28.2%,91.8,92.2,17.6,6.62,19.0%,0.0%,66.2%,62.0%,15.5%,81.0%,66.7%,28.57%,50.00%,22.5%,16.2%,6.5%,22.2%,83.8%,0.0%,.151,.084,2.43,.034,Naturals,ARK vs. NWA (2024-09-12)<br>W 3-0,9/12/24
28,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2024,749853,2024-09-06 20:05:00,ARK - AAX,574,AAX,true,false,true,Arkansas,ARK,ARK,482,CC,CC,L 2-3,SEA,HOU,21.9,AA,23,1,1,6.0,81,21,44.4%,92.1,92.6,19.5,6.39,28.6%,4.8%,70.4%,53.1%,9.9%,76.2%,61.9%,16.67%,54.55%,32.1%,31.1%,27.6%,42.1%,68.9%,7.1%,.260,.232,1.48,.018,Hooks,ARK vs. CC (2024-09-06)<br>L 2-3,9/6/24
29,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2024,749926,2024-08-31 20:05:00,ARK - AAX,574,AAX,false,false,true,Arkansas,ARK,ARK,5368,AMA,AMA,L 5-6,SEA,AZ,21.9,AA,23,1,1,5.0,89,26,53.9%,92.2,92.8,17.2,6.11,15.4%,7.7%,68.5%,60.7%,13.5%,61.5%,69.2%,5.56%,50.00%,23.6%,20.0%,19.0%,22.9%,80.0%,31.6%,.395,.451,-0.90,-.010,Sod Poodles,ARK vs. AMA (2024-08-31)<br>L 5-6,8/31/24
30,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2024,749854,2024-08-25 14:35:00,ARK - AAX,574,AAX,true,true,true,Arkansas,ARK,ARK,1350,NWA,NWA,W 9-3,SEA,KC,21.9,AA,23,1,1,5.0,67,17,49.3%,91.6,92.2,18.6,5.58,41.2%,0.0%,67.2%,52.2%,13.4%,70.6%,64.7%,33.33%,62.50%,31.3%,22.6%,8.7%,25.0%,77.4%,10.0%,.152,.172,1.10,.016,Naturals,ARK vs. NWA (2024-08-25)<br>W 9-3,8/25/24
31,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2024,749860,2024-08-20 19:35:00,ARK - AAX,574,AAX,true,true,true,Arkansas,ARK,ARK,1350,NWA,NWA,W 3-0,SEA,KC,21.9,AA,23,1,1,6.0,66,20,54.5%,92.2,92.8,19.2,6.40,35.0%,0.0%,62.1%,53.0%,13.6%,75.0%,50.0%,50.00%,66.67%,30.3%,34.4%,21.7%,29.0%,65.6%,16.7%,.131,.080,2.31,.035,Naturals,ARK vs. NWA (2024-08-20)<br>W 3-0,8/20/24
32,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2024,749314,2024-08-14 20:05:00,ARK - AAX,574,AAX,false,false,true,Arkansas,ARK,ARK,3898,WCH,WCH,L 4-8,SEA,MIN,21.9,AA,23,1,1,6.0,75,25,44.0%,93.0,93.5,18.6,6.09,16.0%,0.0%,68.0%,53.3%,13.3%,68.0%,88.0%,16.67%,60.00%,20.0%,14.3%,6.5%,31.4%,85.7%,23.5%,.303,.454,-0.14,-.002,Wind Surge,ARK vs. WCH (2024-08-14)<br>L 4-8,8/14/24
33,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2024,749863,2024-08-08 19:35:00,ARK - AAX,574,AAX,true,true,true,Arkansas,ARK,ARK,260,TUL,TUL,W 2-0,SEA,LAD,21.9,AA,23,1,1,6.0,84,21,45.2%,92.4,93.3,19.0,6.53,57.1%,0.0%,73.8%,58.3%,10.7%,85.7%,81.0%,33.33%,71.43%,41.7%,46.0%,46.2%,31.4%,54.0%,11.1%,.090,.126,3.42,.041,Drillers,ARK vs. TUL (2024-08-08)<br>W 2-0,8/8/24
34,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2024,749869,2024-08-02 20:05:00,ARK - AAX,574,AAX,true,true,true,Arkansas,ARK,ARK,237,MID,MID,W 7-4,SEA,ATH,21.9,AA,23,1,1,4.1,82,21,43.9%,92.2,92.6,20.1,5.60,19.0%,14.3%,64.6%,54.9%,14.6%,71.4%,66.7%,23.08%,50.00%,30.5%,31.7%,24.1%,32.4%,68.3%,21.4%,.424,.437,-0.69,-.008,RockHounds,ARK vs. MID (2024-08-02)<br>W 7-4,8/2/24
35,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2024,749593,2024-07-27 19:05:00,ARK - AAX,574,AAX,false,false,true,Arkansas,ARK,ARK,1350,NWA,NWA,L 5-6 (10),SEA,KC,21.9,AA,23,1,1,5.0,78,22,34.6%,91.7,92.1,17.8,6.51,18.2%,4.5%,65.4%,50.0%,15.4%,63.6%,68.2%,22.22%,25.00%,28.2%,19.4%,8.0%,28.2%,80.6%,17.6%,.414,.410,-2.05,-.026,Naturals,ARK vs. NWA (2024-07-27)<br>L 5-6,7/27/24
