Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,SeasonLevel,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
23,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754229,2024-07-28 17:05:00,CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,487,KAN,KAN,W 11-10,TB,CWS,19.5,A,21,1,1,1.2,53,14,56.6%,94.7,95.5,20.1,6.92,21.4%,7.1%,66.0%,56.6%,9.4%,35.7%,57.1%,16.67%,40.00%,26.4%,30.0%,20.0%,21.7%,70.0%,20.0%,.364,.580,-0.22,-.004,Cannon Ballers,CHS vs. KAN (2024-07-28)<br>W 11-10,7/28/24
24,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,753972,2024-07-21 17:05:00,CHS - AFX,233,AFX,false,false,true,Charleston,CHS,CHS,3712,FAY,FAY,L 2-3,TB,HOU,19.5,A,21,1,1,6.0,72,22,52.8%,94.6,95.5,20.9,6.95,31.8%,4.5%,76.4%,58.3%,16.7%,72.7%,77.3%,36.36%,77.78%,29.2%,26.1%,21.2%,43.3%,73.9%,23.1%,.263,.245,1.18,.016,Woodpeckers,CHS vs. FAY (2024-07-21)<br>L 2-3,7/21/24
25,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754236,2024-07-14 17:05:00,CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,3705,COL,COL,W 3-2,TB,KC,19.5,A,21,1,1,2.1,38,12,44.7%,94.1,94.8,20.6,6.91,8.3%,8.3%,63.2%,57.9%,15.8%,41.7%,66.7%,16.67%,50.00%,15.8%,21.7%,10.0%,18.8%,78.3%,20.0%,.366,.383,0.08,.002,Fireflies,CHS vs. COL (2024-07-14)<br>W 3-2,7/14/24
26,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754239,2024-07-06 18:05:00,CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,521,MB,MB,W 11-10 (10),TB,CHC,19.5,A,21,1,1,5.0,86,22,64.0%,94.8,96.3,20.4,6.92,22.7%,9.1%,67.4%,59.3%,10.5%,68.2%,68.2%,18.75%,62.50%,31.4%,27.9%,25.0%,20.0%,72.1%,26.7%,.258,.240,1.50,.017,Pelicans,CHS vs. MB (2024-07-06)<br>W 11-10,7/6/24
27,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754370,2024-06-30 13:35:00,CHS - AFX,233,AFX,false,false,true,Charleston,CHS,CHS,478,AUG,AUG,L 0-2,TB,ATL,19.5,A,21,1,1,7.0,86,26,47.7%,94.6,95.8,19.1,7.01,15.4%,3.8%,74.4%,60.5%,5.8%,65.4%,61.5%,22.22%,33.33%,24.4%,23.2%,14.6%,44.1%,76.8%,4.8%,.264,.270,2.13,.025,GreenJackets,CHS vs. AUG (2024-06-30)<br>L 0-2,6/30/24
28,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754243,2024-06-23 17:05:00,CHS - AFX,233,AFX,true,false,true,Charleston,CHS,CHS,481,HC,HC,L 5-7,TB,CLE,19.5,A,21,1,1,5.0,80,20,68.8%,94.4,95.8,19.9,6.93,15.0%,15.0%,63.7%,48.8%,8.8%,75.0%,60.0%,8.33%,37.50%,12.5%,12.8%,6.3%,36.6%,87.2%,7.1%,.283,.263,1.20,.015,Hillcats,CHS vs. HC (2024-06-23)<br>L 5-7,6/23/24
29,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754050,2024-06-16 13:00:00,CHS - AFX,233,AFX,false,true,true,Charleston,CHS,CHS,485,DE,DE,W 4-0,TB,TEX,19.5,A,21,1,1,5.0,60,16,53.3%,95.2,96.0,19.3,6.24,43.8%,0.0%,75.0%,65.0%,6.7%,75.0%,50.0%,50.00%,75.00%,36.7%,42.5%,33.3%,61.9%,57.5%,12.5%,.075,.078,3.87,.064,Wood Ducks,CHS vs. DE (2024-06-16)<br>W 4-0,6/16/24
30,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754254,2024-06-06 19:05:00,CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,249,WIL,WIL,W 7-0,TB,MIL,19.5,A,21,1,1,6.0,91,20,47.3%,94.1,94.8,18.1,6.99,25.0%,0.0%,65.9%,46.2%,14.3%,50.0%,55.0%,22.22%,62.50%,27.5%,31.4%,28.6%,32.7%,68.6%,14.3%,.191,.088,2.14,.024,Mudcats,CHS vs. WIL (2024-06-06)<br>W 7-0,6/6/24
31,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,753723,2024-05-31 19:05:00,CHS - AFX,233,AFX,false,true,true,Charleston,CHS,CHS,521,MB,MB,W 5-3,TB,CHC,19.5,A,21,1,1,5.0,85,20,55.3%,95.0,96.1,20.4,6.58,50.0%,5.0%,63.5%,51.8%,15.3%,65.0%,55.0%,37.50%,90.00%,35.3%,45.5%,35.7%,39.0%,54.5%,33.3%,.306,.284,0.24,.003,Pelicans,CHS vs. MB (2024-05-31)<br>W 5-3,5/31/24
32,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754261,2024-05-22 19:05:00,CHS - AFX,233,AFX,true,false,true,Charleston,CHS,CHS,485,DE,DE,L 5-7,TB,TEX,19.5,A,21,1,1,4.2,76,23,50.0%,93.2,94.8,20.0,6.89,21.7%,4.3%,71.1%,59.2%,11.8%,47.8%,73.9%,36.36%,44.44%,26.3%,20.9%,6.5%,38.7%,79.1%,47.1%,.429,.438,-1.68,-.022,Wood Ducks,CHS vs. DE (2024-05-22)<br>L 5-7,5/22/24
