Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,SeasonLevel,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
21,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Erie SeaWolves,ERI,106,Erie,AAX,DET,2024,751018,2024-04-07 13:00:00,ERI - AAX,106,AAX,false,false,true,Erie,ERI,ERI,547,HBG,HBG,L 1-5,DET,WSH,21.9,AA,23,1,1,2.1,52,14,38.5%,97.5,98.3,19.4,6.26,21.4%,21.4%,65.4%,50.0%,17.3%,64.3%,64.3%,22.22%,60.00%,42.3%,42.9%,40.0%,23.1%,57.1%,0.0%,.313,.337,0.95,.018,Senators,ERI vs. HBG (2024-04-07)<br>L 1-5,4/7/24
22,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Erie SeaWolves,ERI,106,Erie,AAX,DET,2023,724127,2023-09-17 13:35:00,ERI - AAX,106,AAX,true,false,true,Erie,ERI,ERI,3410,RIC,RIC,L 0-1,DET,SF,20.9,AA,23,1,1,6.0,76,24,42.1%,96.5,97.1,19.2,6.45,25.0%,0.0%,76.3%,60.5%,10.5%,83.3%,75.0%,23.08%,45.45%,23.7%,21.6%,17.5%,36.7%,78.4%,11.1%,.248,.147,1.24,.016,Flying Squirrels,ERI vs. RIC (2023-09-17)<br>L 0-1,9/17/23
23,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,West Michigan Whitecaps,WM,582,West Michigan,AFA,DET,2023,722104,2023-09-10 14:00:00,WM - AFA,582,AFA,true,false,true,West Michigan,WM,WM,456,GL,GL,L 1-4,DET,LAD,20.9,A+,23,1,1,5.0,58,19,43.1%,96.4,97.0,18.9,6.27,36.8%,0.0%,75.9%,51.7%,15.5%,73.7%,73.7%,50.00%,70.00%,37.9%,37.1%,34.8%,42.9%,62.9%,16.7%,.160,.265,1.76,.030,Loons,WM vs. GL (2023-09-10)<br>L 1-4,9/10/23
24,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,West Michigan Whitecaps,WM,582,West Michigan,AFA,DET,2023,722102,2023-09-05 18:35:00,WM - AFA,582,AFA,true,false,true,West Michigan,WM,WM,456,GL,GL,L 1-2,DET,LAD,20.9,A+,23,1,1,5.0,68,19,50.0%,96.2,96.8,18.8,6.41,31.6%,0.0%,66.2%,48.5%,13.2%,78.9%,57.9%,30.77%,71.43%,32.4%,30.3%,17.4%,28.6%,69.7%,38.5%,.355,.304,-1.16,-.017,Loons,WM vs. GL (2023-09-05)<br>L 1-2,9/5/23
25,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,West Michigan Whitecaps,WM,582,West Michigan,AFA,DET,2023,722289,2023-08-30 19:05:00,WM - AFA,582,AFA,false,true,true,West Michigan,WM,WM,499,LAN,LAN,W 5-3,DET,ATH,20.9,A+,23,1,1,6.0,90,24,45.6%,96.5,97.2,19.6,5.74,37.5%,0.0%,73.3%,54.4%,7.8%,62.5%,66.7%,43.75%,66.67%,32.2%,31.5%,20.0%,46.3%,68.5%,14.3%,.153,.221,3.01,.033,Lugnuts,WM vs. LAN (2023-08-30)<br>W 5-3,8/30/23
26,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,West Michigan Whitecaps,WM,582,West Michigan,AFA,DET,2023,725312,2023-08-24 19:35:00,WM - AFA,582,AFA,false,false,true,West Michigan,WM,WM,443,PEO,PEO,L 3-4,DET,STL,20.9,A+,23,1,1,6.0,86,23,46.5%,96.9,97.4,18.8,5.70,26.1%,0.0%,69.8%,53.5%,11.6%,73.9%,69.6%,36.36%,30.77%,40.7%,39.0%,35.7%,32.5%,61.0%,23.5%,.286,.180,0.85,.010,Chiefs,WM vs. PEO (2023-08-24)<br>L 3-4,8/24/23
27,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,West Michigan Whitecaps,WM,582,West Michigan,AFA,DET,2023,722107,2023-08-18 18:35:00,WM - AFA,582,AFA,true,false,true,West Michigan,WM,WM,550,SB,SB,L 5-6,DET,CHC,20.9,A+,23,1,1,3.0,68,16,45.6%,95.5,96.4,18.1,6.29,18.8%,12.5%,67.6%,52.9%,7.4%,62.5%,68.8%,15.38%,33.33%,29.4%,31.6%,25.0%,31.3%,68.4%,18.2%,.381,.463,0.24,.004,Cubs,WM vs. SB (2023-08-18)<br>L 5-6,8/18/23
28,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,West Michigan Whitecaps,WM,582,West Michigan,AFA,DET,2023,725263,2023-08-12 12:05:00 (1),WM - AFA,582,AFA,false,true,true,West Michigan,WM,WM,456,GL,GL,W 12-4 (7),DET,LAD,20.9,A+,23,1,1,5.0,81,22,51.9%,96.6,97.8,19.2,5.81,36.4%,4.5%,64.2%,53.1%,12.3%,45.5%,63.6%,37.50%,80.00%,32.1%,39.5%,25.0%,28.9%,60.5%,0.0%,.285,.364,0.50,.006,Loons,WM vs. GL (2023-08-12)<br>W 12-4,8/12/23
29,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,West Michigan Whitecaps,WM,582,West Michigan,AFA,DET,2023,722114,2023-08-04 18:35:00,WM - AFA,582,AFA,true,true,true,West Michigan,WM,WM,437,LC,LC,W 2-0,DET,CLE,20.9,A+,23,1,1,5.0,66,17,54.5%,96.6,97.2,19.3,6.35,35.3%,0.0%,68.2%,53.0%,12.1%,76.5%,76.5%,21.43%,55.56%,31.8%,22.6%,13.6%,29.0%,77.4%,18.2%,.192,.208,1.02,.015,Captains,WM vs. LC (2023-08-04)<br>W 2-0,8/4/23
30,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,West Michigan Whitecaps,WM,582,West Michigan,AFA,DET,2023,722121,2023-07-29 19:05:00,WM - AFA,582,AFA,true,true,true,West Michigan,WM,WM,584,FW,FW,W 8-5,DET,SD,20.9,A+,23,1,1,5.0,73,20,35.6%,96.6,97.2,18.1,6.27,45.0%,0.0%,76.7%,60.3%,11.0%,75.0%,75.0%,36.36%,58.33%,43.8%,40.0%,28.6%,41.4%,60.0%,18.2%,.366,.345,-0.97,-.013,TinCaps,WM vs. FW (2023-07-29)<br>W 8-5,7/29/23
