Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,batsHand,throwsHand,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P
181,694370,L. Wells,Levi Wells,Wells,Levi,P,Norfolk Tides,NOR,568,Norfolk,aaa,BAL,Aberdeen IronBirds,ABD,488,Aberdeen,AFA,BAL,R,R,22.8,24,21,21,60.1,1089,285,43.9%,95.5,96.6,19.9,6.28,26.0%,10.5%,62.9%,53.3%,12.0%,53.0%,60.5%,21.71%,56.48%,26.4%,27.9%,21.9%,24.7%,72.1%,16.1%,.298,.345,8.61,.008
207,679883,L. Avila,Luinder Avila,Avila,Luinder,P,Omaha Storm Chasers,OMA,541,Omaha,aaa,KC,Omaha Storm Chasers,OMA,541,Omaha,AAA,KC,R,R,22.9,24,20,20,87.0,1437,380,31.8%,94.2,94.9,13.9,6.53,22.4%,12.4%,60.6%,50.3%,16.2%,61.3%,58.9%,23.37%,48.20%,27.9%,26.4%,16.1%,22.3%,73.6%,14.9%,.286,.302,13.55,.009
207,699309,J. Díaz,Joel Díaz,Díaz,Joel,P,Brooklyn Cyclones,BRK,453,Brooklyn,afa,NYM,St. Lucie Mets,SLU,507,St. Lucie,AFX,NYM,R,R,20.3,22,20,17,74.1,1258,329,39.7%,92.3,93.1,19.4,5.91,21.6%,8.5%,63.6%,49.2%,16.9%,60.5%,55.2%,19.63%,45.31%,27.9%,25.8%,19.5%,28.2%,74.2%,16.1%,.283,.329,16.61,.013
207,700167,B. Mena,Bryan Mena,Mena,Bryan,P,Greensboro Grasshoppers,GBO,477,Greensboro,afa,PIT,Fresno Grizzlies,FRE,259,Fresno,AFX,COL,R,R,20.0,21,20,13,79.1,1317,353,36.3%,93.0,93.8,14.8,5.65,23.5%,11.9%,60.5%,45.1%,19.6%,61.2%,60.4%,20.73%,60.33%,28.1%,27.6%,20.1%,23.9%,72.4%,15.3%,.323,.344,-3.64,-.003
207,804870,R. Brizuela,Ricardo Brizuela,Brizuela,Ricardo,P,,,,,,,Kannapolis Cannon Ballers,KAN,487,Kannapolis,AFX,CWS,R,R,21.0,22,20,12,70.2,1084,286,12.5%,90.5,90.6,15.9,5.93,24.1%,4.5%,63.9%,45.4%,20.6%,61.5%,60.5%,25.00%,49.09%,30.8%,32.0%,26.3%,30.6%,68.0%,15.3%,.287,.280,4.73,.004
207,800237,S. Mejia,Sandy Mejia,Mejia,Sandy,P,,,,,,,Fayetteville Woodpeckers,FAY,3712,Fayetteville,AFX,HOU,R,R,20.5,22,20,13,70.1,1308,321,40.0%,90.8,91.8,20.4,5.49,29.0%,15.6%,58.4%,44.6%,20.8%,55.1%,52.4%,22.70%,61.98%,31.7%,35.4%,23.4%,25.2%,64.6%,18.9%,.311,.335,3.56,.003
207,701686,K. Larsen,Kyle Larsen,Larsen,Kyle,P,Greensboro Grasshoppers,GBO,477,Greensboro,afa,PIT,Down East Wood Ducks,DE,485,Down East,AFX,TEX,R,R,21.0,22,20,14,60.1,1097,287,46.3%,91.9,93.1,17.0,6.28,22.0%,15.0%,58.7%,45.5%,19.5%,56.8%,57.8%,24.12%,55.68%,25.7%,25.1%,19.6%,20.8%,74.9%,17.9%,.330,.328,-1.73,-.002
207,703609,W. Ford,Walter Ford,Ford,Walter,P,Everett AquaSox,EVE,403,Everett,afa,SEA,Modesto Nuts,MOD,515,Modesto,AFX,SEA,R,R,19.5,21,20,16,80.0,1214,360,38.0%,89.4,90.3,18.2,5.94,20.6%,5.6%,65.0%,51.0%,16.8%,57.2%,64.0%,25.52%,53.72%,27.3%,25.3%,17.7%,27.9%,74.7%,16.1%,.301,.358,4.98,.004
207,814136,C. Tejada,Clevari Tejada,Tejada,Clevari,P,Bradenton Marauders,BRD,3390,Bradenton,afx,PIT,Bradenton Marauders,BRD,3390,Bradenton,AFX,PIT,R,R,19.8,21,20,7,68.1,1101,295,15.6%,92.6,93.9,14.6,6.14,17.6%,11.5%,57.9%,41.7%,25.8%,56.3%,56.3%,22.48%,49.40%,26.2%,25.1%,15.8%,22.9%,74.9%,13.6%,.296,.316,3.30,.003
207,805809,T. Sykora,Travis Sykora,Sykora,Travis,P,,,,,,,Fredericksburg Nationals,FBG,436,Fredericksburg,AFX,WSH,R,R,20.2,21,20,20,85.0,1378,329,23.8%,94.6,95.7,17.0,6.65,39.2%,8.2%,65.2%,48.1%,18.8%,66.0%,59.9%,27.88%,61.21%,37.2%,43.7%,36.3%,31.0%,56.3%,14.3%,.217,.223,29.25,.021
207,809496,R. Bauman,Riley Bauman,Bauman,Riley,P,,,,,,,Inland Empire 66ers,IE,401,Inland Empire,AFX,LAA,R,R,21.8,23,20,19,83.2,1586,419,48.2%,93.2,94.7,18.3,6.12,19.8%,12.6%,58.4%,46.5%,21.4%,55.6%,53.0%,18.02%,49.32%,24.7%,24.4%,19.2%,23.7%,75.6%,17.9%,.339,.370,-4.08,-.003
207,803833,G. Baumann,Garrett Baumann,Baumann,Garrett,P,Columbus Clingstones,COL,6325,Columbus,aax,ATL,Rome Emperors,ROM,432,Rome,AFA,ATL,L,R,19.9,21,20,19,99.0,1463,407,30.5%,93.8,95.2,16.9,6.89,21.9%,5.7%,68.2%,54.6%,11.6%,70.0%,67.4%,17.62%,48.21%,26.7%,24.0%,19.8%,31.2%,76.0%,9.5%,.260,.271,24.20,.017
207,804267,Z. Thornton,Zach Thornton,Thornton,Zach,P,Binghamton Rumble Ponies,BNG,505,Binghamton,aax,NYM,Brooklyn Cyclones,BRK,453,Brooklyn,AFA,NYM,L,L,22.5,24,20,12,68.0,1074,294,36.7%,90.5,91.8,19.8,6.17,18.4%,6.1%,66.2%,53.1%,14.3%,60.9%,60.5%,16.96%,46.30%,25.7%,21.1%,15.0%,28.6%,78.9%,13.3%,.283,.338,14.13,.013
207,805800,Z. Mueth,Zander Mueth,Mueth,Zander,P,Bradenton Marauders,BRD,3390,Bradenton,afx,PIT,Bradenton Marauders,BRD,3390,Bradenton,AFX,PIT,R,R,19.0,20,20,19,74.0,1301,332,0.3%,94.1,95.2,10.6,6.54,23.8%,15.1%,58.3%,42.2%,24.2%,59.0%,55.5%,22.34%,58.93%,28.6%,28.0%,21.6%,23.3%,72.0%,13.0%,.302,.286,8.34,.006
207,693311,T. Hence,Tink Hence,Hence,Tink,P,Memphis Redbirds,MEM,235,Memphis,aaa,STL,Springfield Cardinals,SPR,440,Springfield,AAX,STL,R,R,21.9,23,20,20,79.2,1327,320,48.2%,94.0,96.1,18.1,5.91,34.1%,8.1%,63.0%,48.1%,16.8%,62.5%,55.1%,28.05%,65.41%,32.4%,36.4%,26.3%,30.1%,63.6%,16.4%,.248,.255,16.90,.013
207,691893,J. Cabrera,Jean Cabrera,Cabrera,Jean,P,Lehigh Valley IronPigs,LHV,1410,Lehigh Valley,aaa,PHI,Reading Fightin Phils,REA,522,Reading,AAX,PHI,R,R,22.7,24,20,19,106.2,1676,446,20.2%,94.3,95.1,16.0,6.21,24.7%,7.4%,63.5%,46.8%,16.1%,59.6%,58.4%,24.36%,50.00%,29.5%,31.0%,21.1%,33.7%,69.0%,11.9%,.277,.289,17.52,.010
207,702910,J. Lara,Jhancarlos Lara,Lara,Jhancarlos,P,Columbus Clingstones,COL,6325,Columbus,aax,ATL,Mississippi Braves,MIS,430,Mississippi,AAX,ATL,R,R,21.5,23,20,19,82.2,1515,371,41.9%,96.3,98.2,16.0,6.70,25.3%,16.2%,57.5%,43.0%,17.7%,54.4%,46.9%,26.29%,51.72%,27.5%,33.0%,23.4%,23.1%,67.0%,14.2%,.300,.314,7.82,.005
207,804556,B. Nett,Braden Nett,Nett,Braden,P,Athletics,ATH,133,Athletics,mlb,ATH,San Antonio Missions,SA,510,San Antonio,AAX,SD,R,R,22.0,23,20,19,65.0,1159,286,39.1%,95.9,97.2,17.5,6.25,25.5%,14.0%,60.9%,48.7%,19.0%,58.7%,53.0%,25.44%,50.43%,29.9%,29.0%,21.5%,23.2%,71.0%,13.3%,.281,.296,12.06,.010
207,699223,P. Aquino,Patricio Aquino,Aquino,Patricio,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,R,R,21.2,22,20,10,79.0,1229,330,7.7%,90.8,92.0,13.9,5.83,17.3%,7.0%,63.1%,48.3%,17.1%,63.3%,59.8%,19.07%,46.02%,25.0%,23.7%,17.1%,28.3%,76.3%,15.3%,.301,.312,6.75,.005
